"Criminality avg,","Resilience avg,",Human trafficking,Cyber-dependent crimes,State-embedded actors,Country
3.7,5.29,3.5,2.0,5.5,Tonga
7.02,5.33,8.0,8.0,8.0,Kenya
5.65,5.33,5.0,6.0,7.5,Bulgaria
5.2,5.33,6.5,6.0,5.0,Trinidad and Tobago
2.7,5.33,3.5,2.5,2.0,Palau
3.37,5.38,5.5,3.0,3.5,Cuba
3.08,5.38,2.5,3.0,2.0,"St, Vincent and the Grenadines"
5.8,5.42,5.0,4.5,8.0,Jamaica
5.75,5.42,8.0,7.5,6.0,India
5.45,5.42,8.0,7.0,6.5,Qatar
4.95,5.42,8.0,7.0,4.0,Bahrain
4.15,5.42,5.0,4.0,3.0,Fiji
5.8,5.46,7.0,6.0,7.5,Ghana
4.35,5.46,4.5,5.0,4.0,Botswana
3.75,5.5,5.0,2.5,3.0,Bahamas
5.2,5.54,8.0,6.5,6.0,Kuwait
4.37,5.54,4.5,4.0,6.0,Mauritius
3.6,5.54,5.0,4.5,5.0,Rwanda
4.93,5.58,6.0,5.5,6.0,Jordan
3.53,5.58,4.0,2.0,5.0,"St, Lucia"
7.75,5.63,8.0,7.0,7.5,Colombia
7.18,5.63,4.5,7.0,8.0,South Africa
5.53,5.63,5.0,7.0,2.5,Costa Rica
2.58,5.63,2.0,3.0,3.5,Monaco
6.37,5.67,7.0,8.5,7.0,China
2.82,5.71,3.0,2.5,3.0,Armenia
7.28,5.79,7.5,8.0,7.5,Nigeria
5.52,5.79,5.5,5.0,5.0,Senegal
2.52,5.79,5.0,3.0,3.0,Marshall Islands
2.43,5.83,3.5,2.5,2.5,Samoa
4.48,5.88,5.5,5.5,4.5,Poland
3.0,5.88,5.0,2.0,2.5,Micronesia (Federated States of)
6.23,5.92,7.5,8.0,6.0,Malaysia
5.15,5.92,5.0,4.5,6.0,Croatia
5.0,5.96,5.0,5.5,6.0,Argentina
4.58,6.0,6.0,6.0,3.5,Romania
4.37,6.04,4.0,5.0,6.5,Slovenia
4.85,6.08,6.0,9.0,5.0,Israel
1.62,6.08,1.5,1.5,1.5,Tuvalu
3.07,6.13,4.0,1.5,4.0,Barbados
5.18,6.17,6.0,5.0,5.5,Chile
4.68,6.42,5.5,5.5,5.0,Czech Republic
6.22,6.46,7.0,6.0,6.5,Italy
4.88,6.5,5.5,5.5,4.5,Portugal
4.28,6.58,4.5,4.5,4.0,Cabo Verde
5.9,6.75,7.0,6.0,5.0,Spain
5.82,6.96,6.0,6.5,3.5,France
4.87,7.04,5.0,7.0,2.0,Switzerland
4.43,7.04,5.0,6.0,2.0,Belgium
5.67,7.13,6.0,8.0,4.5,United States
3.88,7.21,4.0,6.5,2.0,Canada
3.9,7.29,4.0,5.5,4.0,Lithuania
5.08,7.33,5.0,6.0,4.0,Ireland
4.28,7.38,5.0,3.5,3.0,Japan
4.0,7.38,3.5,7.5,2.5,Australia
4.97,7.46,5.5,7.5,3.0,Netherlands
4.7,7.46,5.0,6.0,2.5,Sweden
5.33,7.5,6.0,6.5,2.0,Germany
4.13,7.5,4.5,5.0,4.0,Austria
3.22,7.5,3.0,4.0,3.0,Uruguay
2.85,7.5,3.5,4.5,2.0,Luxembourg
5.75,7.54,7.0,6.5,3.5,United Kingdom
3.9,7.58,5.0,6.0,2.0,Latvia
3.47,7.83,5.5,6.5,1.5,Singapore
4.25,7.88,4.5,7.0,2.0,Estonia
4.08,7.88,3.5,6.0,2.0,New Zealand
3.75,7.92,5.0,5.5,1.5,Norway
3.22,7.96,2.5,2.0,1.5,Andorra
4.43,8.08,5.5,3.5,4.5,"Korea, Rep,"
4.02,8.13,4.0,6.5,2.0,Denmark
3.37,8.21,4.5,5.0,1.5,Iceland
2.27,8.46,2.0,4.0,1.5,Liechtenstein
2.98,8.63,3.5,5.0,1.5,Finland
